name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auckland,New Zealand",2021-01-01,24.1,13.8,19.3,24.1,13.8,19.3,14.5,75.5,0,0,0,,,,,13.6,216.9,1017.3,26.9,7.9,394.1,33.9,10,,2021-01-01T06:05:20,2021-01-01T20:43:18,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,E0594,NZAA,93129099999,93110099999,C4778,3EMT9"
"Auckland,New Zealand",2021-01-02,24,17.1,19.7,24,17.1,19.7,17,85.4,4.591,100,12.5,rain,,,,11.2,1.8,1014.8,73,8.9,154.6,13.5,9,,2021-01-02T06:06:07,2021-01-02T20:43:26,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-03,22.9,16.9,19.4,22.9,16.9,19.4,17.3,88.6,1.45,100,20.83,rain,,,,13.6,15.6,1017.4,59.8,8.2,129.4,10.9,4,,2021-01-03T06:06:56,2021-01-03T20:43:32,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-04,26.1,17.1,21.2,26.1,17.1,21.2,16.8,78.1,0.958,100,4.17,rain,,,,9,307.5,1020,57.7,8.3,373.3,32.3,10,,2021-01-04T06:07:46,2021-01-04T20:43:36,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-05,26.9,16.1,21.2,27,16.1,21.2,16.5,76.9,0,0,0,,,,,13.6,229.3,1020,7.9,8.5,389.3,33.7,10,,2021-01-05T06:08:37,2021-01-05T20:43:38,0.71,Clear,Clear conditions throughout the day.,clear-day,"93119099999,E0594,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-06,25,16,20.9,25,16,20.9,16.8,78.8,0,0,0,,,,,18.1,231.8,1016.1,2.1,9.1,393,33.8,10,,2021-01-06T06:09:29,2021-01-06T20:43:38,0.75,Clear,Clear conditions throughout the day.,clear-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-07,27,18,21.1,27.3,18,21.1,16.7,78.5,0,0,0,,,,,17,269.4,1010.8,9.3,8.4,211.5,18.1,9,,2021-01-07T06:10:23,2021-01-07T20:43:35,0.78,Clear,Clear conditions throughout the day.,clear-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-08,23.9,17.9,19.7,23.9,17.9,19.7,17,85.4,22.032,100,20.83,rain,,,,15.9,267.1,1006.9,74.4,7.2,210.8,18,10,,2021-01-08T06:11:17,2021-01-08T20:43:31,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-09,24.8,17,20.8,24.8,17,20.8,16.8,79,0.008,100,4.17,rain,,,,14.8,236.1,1009.7,35,8.4,284.3,24.7,10,,2021-01-09T06:12:13,2021-01-09T20:43:25,0.85,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",2021-01-10,23.2,18.1,20.5,23.2,18.1,20.5,15.2,72.3,0,0,0,,,,,15.9,217.1,1013.9,54.5,8.5,280.5,24.1,10,,2021-01-10T06:13:09,2021-01-10T20:43:16,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
